Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,ClassLabel
Good,Good,AVERAGE,Mumbai University,B,0,Low,yes
Good,Good,LOW,Pune University,B,0,Low,yes
Good,Good,AVERAGE,Mumbai University,B,0,Low,yes
Good,Good,AVERAGE,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Other University,A-,0,Low,yes
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Good,Excellent,AVERAGE,Pune University,B+,0,Low,yes
Excellent,Excellent,HIGH,Other University,B+,0,Low,yes
Excellent,Average,LOW,Hyderabad University,A-,1,Low,yes
Excellent,Average,AVERAGE,IIT,A-,1,Low,yes
Excellent,Average,LOW,Mumbai University,B,0,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Good,Good,GOOD,Mumbai University,B+,0,Low,yes
Excellent,Good,LOW,Other University,A-,0,Low,yes
Good,Good,GOOD,College of Engineering,A-,0,Low,yes
Excellent,Good,AVERAGE,Other University,B+,0,Low,yes
Excellent,Good,LOW,Other University,B+,0,Low,yes
Good,Excellent,AVERAGE,Other University,B+,0,Low,yes
Good,Good,LOW,Hyderabad University,B+,0,Low,yes
Good,Excellent,LOW,Other University,B+,0,Low,yes
Good,Excellent,AVERAGE,Mumbai University,B+,0,Low,yes
Excellent,Excellent,LOW,Pune University,B+,0,Low,yes
Excellent,Good,AVERAGE,Pune University,B,0,Low,yes
Good,Excellent,LOW,Other University,A-,0,Low,yes
Excellent,Excellent,GOOD,Pune University,A-,0,Low,yes
Excellent,Good,AVERAGE,IIT,A-,0,Low,yes
Excellent,Good,LOW,Other University,B+,0,Low,yes
Good,Good,LOW,Other University,A+,0,Low,yes
Good,Low,AVERAGE,Mumbai University,B+,0,Low,yes
Good,Good,AVERAGE,Pune University,B,0,Low,yes
Excellent,Excellent,AVERAGE,Mumbai University,B+,0,Low,yes
Good,Excellent,LOW,Pune University,B,0,Low,yes
Excellent,Good,GOOD,Mumbai University,B,3,Low,yes
Good,Good,LOW,Other University,B+,0,Low,yes
Low,Bad,LOW,Other University,B+,0,Low,yes
Excellent,Excellent,GOOD,Hyderabad University,B+,0,Low,yes
Good,Good,LOW,Hyderabad University,B+,0,Low,yes
Excellent,Average,AVERAGE,Mumbai University,B,0,Low,yes
Excellent,Good,GOOD,Other University,B+,0,Low,yes
Excellent,Good,AVERAGE,Other University,B+,2,Low,yes
Excellent,Excellent,GOOD,Other University,B+,0,Low,yes
Excellent,Good,AVERAGE,Other University,A-,0,Low,yes
Good,Good,AVERAGE,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B+,0,Low,yes
Excellent,Excellent,GOOD,Pune University,B+,1,Low,yes
Excellent,Excellent,GOOD,Other University,A-,0,Low,yes
Good,Excellent,GOOD,Other University,B+,0,Low,yes
Good,Good,LOW,Mumbai University,B,0,Low,yes
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Good,Good,LOW,Other University,A-,0,Low,yes
Good,Good,GOOD,Pune University,B,0,Low,yes
Excellent,Excellent,HIGH,Other University,A-,0,Low,yes
Good,Good,AVERAGE,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B+,0,Low,yes
Excellent,Average,LOW,Pune University,B,0,Low,yes
Good,Good,GOOD,Other University,B+,0,Low,yes
Excellent,Excellent,GOOD,Other University,A-,0,Low,yes
Excellent,Good,GOOD,Other University,B+,0,Low,yes
Excellent,Excellent,GOOD,Other University,B+,0,Low,yes
Good,Good,LOW,Mumbai University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B,0,Low,yes
Good,Good,AVERAGE,College of Engineering,B+,0,Low,yes
Excellent,Good,GOOD,Other University,B+,0,Low,yes
Excellent,Good,LOW,Mumbai University,B,0,Low,yes
Excellent,Excellent,LOW,Other University,A-,0,Low,yes
Good,Good,GOOD,Hyderabad University,A-,0,Low,yes
Good,Excellent,AVERAGE,Other University,B+,0,Low,yes
Good,Excellent,AVERAGE,Other University,A-,0,Low,yes
Good,Excellent,LOW,Other University,B+,0,Low,yes
Good,Excellent,AVERAGE,Other University,A-,1,Low,yes
Excellent,Excellent,LOW,Mumbai University,B,0,Low,yes
Excellent,Excellent,LOW,Other University,A-,0,Low,yes
Low,Bad,LOW,Other University,B+,3,Low,yes
Good,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Excellent,Excellent,LOW,BITS University,B+,0,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Good,Excellent,LOW,Mumbai University,B+,0,Low,yes
Good,Excellent,LOW,Other University,B+,0,Low,yes
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,yes
